net,test case,ground truth,your output,your runtime,your point
fc_4,img9_mnist_0.0814.txt,verified,verified,1.398,1
fc_5,img0_mnist_0.0336.txt,not verified,timeout (not verified),60,0
fc_5,img1_mnist_0.0772.txt,not verified,timeout (not verified),60,0
fc_5,img2_mnist_0.1475.txt,not verified,timeout (not verified),60,0
fc_5,img3_mnist_0.0014.txt,verified,verified,1.359,1
fc_5,img4_mnist_0.0745.txt,verified,verified,1.335,1
fc_5,img5_mnist_0.1012.txt,verified,verified,1.394,1
fc_5,img6_mnist_0.0946.txt,verified,verified,1.345,1
fc_5,img7_mnist_0.1009.txt,verified,verified,1.463,1
fc_5,img8_mnist_0.1020.txt,verified,verified,1.375,1
fc_5,img9_mnist_0.1198.txt,verified,verified,1.395,1
fc_6,img0_mnist_0.0142.txt,not verified,timeout (not verified),60,0
fc_6,img1_mnist_0.0269.txt,not verified,timeout (not verified),60,0
fc_6,img2_mnist_0.0386.txt,not verified,timeout (not verified),60,0
fc_6,img3_mnist_0.0040.txt,verified,verified,1.354,1
fc_6,img4_mnist_0.0619.txt,verified,verified,1.289,1
fc_6,img5_mnist_0.0458.txt,verified,verified,1.347,1
fc_6,img6_mnist_0.0348.txt,verified,verified,1.365,1
fc_6,img7_mnist_0.0261.txt,verified,verified,1.361,1
fc_6,img8_mnist_0.0316.txt,verified,verified,1.516,1
fc_6,img9_mnist_0.0356.txt,verified,timeout (not verified),60,0
fc_6,img0_cifar10_0.0019.txt,not verified,not verified,61.2,0
fc_6,img1_cifar10_0.0026.txt,not verified,timeout (not verified),60,0
fc_6,img2_cifar10_0.0029.txt,not verified,not verified,61.207,0
fc_6,img3_cifar10_0.0051.txt,not verified,timeout (not verified),60,0
fc_6,img4_cifar10_0.0038.txt,verified,verified,1.321,1
fc_6,img5_cifar10_0.0029.txt,verified,verified,1.323,1
fc_6,img6_cifar10_0.0071.txt,verified,verified,1.378,1
fc_6,img7_cifar10_0.0059.txt,verified,verified,1.519,1
fc_6,img8_cifar10_0.0029.txt,verified,verified,1.493,1
fc_6,img9_cifar10_0.0052.txt,verified,verified,1.535,1
fc_7,img0_mnist_0.0598.txt,not verified,not verified,61.189,0
fc_7,img1_mnist_0.0670.txt,not verified,not verified,61.207,0
fc_7,img2_mnist_0.0677.txt,not verified,timeout (not verified),60,0
fc_7,img3_mnist_0.0700.txt,verified,verified,1.403,1
fc_7,img4_mnist_0.0571.txt,verified,verified,1.361,1
fc_7,img5_mnist_0.0551.txt,verified,verified,1.375,1
fc_7,img6_mnist_0.0565.txt,verified,verified,1.375,1
fc_7,img7_mnist_0.0521.txt,verified,verified,1.382,1
fc_7,img8_mnist_0.0744.txt,verified,verified,1.748,1
fc_7,img9_mnist_0.0777.txt,verified,verified,1.601,1
conv_base,img0_mnist_0.0770.txt,not verified,not verified,1.637,0
conv_base,img1_mnist_0.1146.txt,not verified,not verified,1.677,0
conv_base,img2_mnist_0.1222.txt,not verified,not verified,1.634,0
conv_base,img3_mnist_0.1375.txt,verified,verified,1.621,1
conv_base,img4_mnist_0.1163.txt,verified,verified,1.598,1
conv_1,img0_mnist_0.1671.txt,not verified,timeout (not verified),60,0
conv_1,img1_mnist_0.1796.txt,not verified,timeout (not verified),60,0
conv_1,img2_mnist_0.1829.txt,not verified,timeout (not verified),60,0
conv_1,img3_mnist_0.0181.txt,verified,verified,1.498,1
conv_1,img4_mnist_0.1120.txt,verified,verified,1.473,1
conv_1,img5_mnist_0.1049.txt,verified,verified,1.503,1
conv_1,img6_mnist_0.1120.txt,verified,verified,1.478,1
conv_1,img7_mnist_0.1120.txt,verified,verified,1.472,1
conv_1,img8_mnist_0.1272.txt,verified,verified,1.705,1
conv_1,img9_mnist_0.1306.txt,verified,verified,2.134,1
conv_2,img0_mnist_0.1211.txt,not verified,timeout (not verified),60,0
conv_2,img1_mnist_0.1560.txt,not verified,timeout (not verified),60,0
conv_2,img2_mnist_0.1831.txt,not verified,timeout (not verified),60,0
conv_2,img3_mnist_0.0095.txt,verified,verified,2.74,1
conv_2,img4_mnist_0.0974.txt,verified,verified,2.726,1
conv_2,img5_mnist_0.1424.txt,verified,verified,2.73,1
conv_2,img6_mnist_0.1284.txt,verified,verified,2.665,1
conv_2,img7_mnist_0.1582.txt,verified,verified,2.809,1
conv_2,img8_mnist_0.1709.txt,verified,verified,5.406,1
conv_2,img9_mnist_0.1668.txt,verified,verified,5.451,1
conv_3,img0_cifar10_0.0016.txt,not verified,timeout (not verified),60,0
conv_3,img1_cifar10_0.0085.txt,not verified,timeout (not verified),60,0
conv_3,img2_cifar10_0.0153.txt,not verified,timeout (not verified),60,0
conv_3,img3_cifar10_0.0221.txt,not verified,timeout (not verified),60,0
conv_3,img4_cifar10_0.0133.txt,verified,verified,7.172,1
conv_3,img5_cifar10_0.0151.txt,verified,verified,6.801,1
conv_3,img6_cifar10_0.0133.txt,verified,verified,6.94,1
conv_3,img7_cifar10_0.0124.txt,verified,verified,40.259,1
conv_3,img8_cifar10_0.0235.txt,verified,timeout (not verified),60,0
conv_3,img9_cifar10_0.0127.txt,verified,timeout (not verified),60,0
conv_4,img0_mnist_0.0694.txt,not verified,timeout (not verified),60,0
conv_4,img1_mnist_0.1851.txt,not verified,timeout (not verified),60,0
conv_4,img2_mnist_0.2236.txt,not verified,timeout (not verified),60,0
conv_4,img3_mnist_0.1712.txt,verified,verified,3.23,1
conv_4,img4_mnist_0.1697.txt,verified,verified,3.221,1
conv_4,img5_mnist_0.1483.txt,verified,verified,3.268,1
conv_4,img6_mnist_0.1245.txt,verified,verified,5.025,1
conv_4,img7_mnist_0.1962.txt,verified,verified,5.101,1
conv_4,img8_mnist_0.2113.txt,verified,verified,35.552,1
conv_4,img9_mnist_0.2101.txt,verified,verified,28.371,1
fc_8,img0_mnist_0.0511.txt,not verified,timeout (not verified),60,0
fc_8,img1_mnist_0.1967.txt,not verified,timeout (not verified),60,0
fc_8,img2_mnist_0.0724.txt,verified,verified,1.572,1
fc_8,img3_mnist_0.0532.txt,verified,verified,1.523,1
fc_8,img4_mnist_0.1163.txt,verified,verified,2.143,1
conv_5,img0_cifar10_0.0097.txt,not verified,timeout (not verified),60,0
conv_5,img1_cifar10_0.0219.txt,not verified,timeout (not verified),60,0
conv_5,img2_cifar10_0.0090.txt,verified,verified,7.741,1
conv_5,img3_cifar10_0.0146.txt,verified,verified,19.213,1
conv_5,img4_cifar10_0.0111.txt,verified,timeout (not verified),60,0

total points: 88
